original,sekore,titauini,kaiko,arzafire
sUmisu,somisa,somisa,seimisa,tidar(a|i)
jOnson,juns(e|a)n,duns(e|a)n,jouss(e|a)n,jegtuh
wIriamuzu,uadiumaza,(b|u)ariumaza,uairiumaza,kodair(a|i)r(a|i)
burAun,badean,uarean,barean,h(a|i)da(a|i)h
jOnzu,junza,dunza,jouzza,jegr(a|i)
mIra,madu,maru,mair'u,dodi
dEibisu,diibisa,riiuisa,diibisa,buahar(a|i)
garUsia,hudoziu,gurosiu,n'ureis'iu,zidicai
rodOrigesu,r(e|a)rudih(a|i)sa,r(e|a)rurig(a|i)sa,(r'a|ri)dourin'(a|i)sa,rubedaz(e|a)r(a|i)
wIruson,uadas(e|a)n,(b|u)aras(e|a)n,uair'as(e|a)n,kod(a|i)ruh
marUtinesu,mudocin(a|i)sa,murotin(a|i)sa,mureitin(a|i)sa,ridinah(e|a)r(a|i)
andAson,undez(e|a)n,unres(e|a)n,uddes(e|a)n,ihbacuh
tEira,tiiru,tiiru,tiir'u,nuari
tOmasu,tumusa,tumusa,toumusa,nedir(a|i)
herunAndesu,h(a|i)ranenr(a|i)sa,h(a|i)ranenr(a|i)sa,u(a|i)r'anedd(a|i)sa,m(e|a)r(a|i)fagb(e|a)r(a|i)
mUa,mov,mou,meiu,dii
mAtin,mecin,metin,metin,danah
jAkuson,jegas(e|a)n,dekas(e|a)n,jekas(e|a)n,jaz(a|i)ruh
tOnpuson,tunfas(e|a)n,tunpas(e|a)n,touppas(e|a)n,negf(a|i)ruh
howAito,h(e|a)ueir(e|a),h(e|a)(b|u)eit(e|a),u(e|a)ueit(e|a),mukaanu
rOpesu,dub(a|i)sa,rup(a|i)sa,r'oup(a|i)sa,deb(e|a)r(a|i)
rI,da,ra,r'ai,do
gOnzaresu,gunzur(a|i)sa,gunzur(a|i)sa,n'ouzzur(a|i)sa,zegrir(e|a)r(a|i)
kurAku,hadega,kareka,kareka,s(a|i)daz(a|i)
rUisu,doisa,roisa,reiisa,diar(a|i)
robInson,r(e|a)bans(e|a)n,r(e|a)uans(e|a)n,(r'a|ri)baiss(e|a)n,ruhogtuh
uOka,augu,auku,aouku,(a|i)ezi
pEresu,pid(a|i)sa,pir(a|i)sa,pir(a|i)sa,pud(e|a)r(a|i)
yAngu,ienha,ienga,ienn'a,dagz(a|i)
Aren,ed(a|i)n,er(a|i)n,er(a|i)n,ad(e|a)h
sAntyesu,sent(a|i)sa,sent'(a|i)sa,s'ett'(a|i)sa,tagn(e|a)r(a|i)
rAito,deir(e|a),reit(e|a),reit(e|a),daanu
kIngu,kanha,kanga,kainn'a,sogz(a|i)
sukOto,sakuc(e|a),sakut(e|a),sakout(e|a),t(a|i)senu
gurIn,hadan,garan,n'ar'ain,z(a|i)dog
bEika,biihu,uiiku,biiku,guasi
Adamusu,erumasa,erumasa,edumasa,abir(a|i)r(a|i)
nEruson,nidas(e|a)n,niras(e|a)n,nir'as(e|a)n,fud(a|i)ruh
hIru,fada,hara,uair'a,mod(a|i)
rAmiresu,demir(a|i)sa,remir(a|i)sa,remir(a|i)sa,dadar(e|a)r(a|i)
kyAnberu,kienb(a|i)ra,kienu(a|i)ra,kiebb(a|i)r'a,s'agh(e|a)r(a|i)
mItyeru,mac(a|i)ra,mat'(a|i)ra,mait'(a|i)r'a,don(e|a)r(a|i)
rObatsu,dubursa,ruuutsa,r'oubussa,dehint(a|i)
kAta,kecu,ketu,ketu,sani
fIripusu,fadipasa,faripasa,fairipasa,fodap(a|i)r(a|i)
Ebanzu,ibunza,iuunza,ibuzza,uhihr(a|i)
tAna,tenu,tenu,tenu,nagi
tOresu,tud(a|i)sa,tur(a|i)sa,tour(a|i)sa,ned(e|a)r(a|i)
pAka,pegu,peku,peku,pazi
kOrinzu,kudinza,kurinza,kourizza,sedahr(a|i)
Edowazu,ir(e|a)uuza,ir(e|a)(b|u)uza,id(e|a)uuza,ubuhir(a|i)
sutyuAto,saraec(e|a),sat'aet(e|a),sat'aet(e|a),t(a|i)n(a|i)anu
hurOresu,hadud(a|i)sa,harur(a|i)sa,uar'our(a|i)sa,m(a|i)ded(e|a)r(a|i)
mOrisu,mudisa,murisa,mourisa,dedar(a|i)
gUen,go(a|i)n,go(a|i)n,n'ei(a|i)n,zi(e|a)h
mAfi,mevi,mefi,mefi,dava
rIbera,dab(a|i)ru,rau(a|i)ru,r'aib(a|i)r'u,doh(e|a)ri
kUku,koga,koka,keika,siz(a|i)
rOjasu,dujusa,rudusa,r'oujusa,dejir(a|i)
mOgan,muhun,mugun,moun'un,dezih
pItason,pacus(e|a)n,patus(e|a)n,paitus(e|a)n,poniruh
kUpa,kobu,kopu,keipu,sibi
sAto,sec(e|a),set(e|a),s'et(e|a),tanu
suzukI,sazaka,sazaka,sazakai,t(a|i)r(a|i)so
takAhashi,tukegushi,tukehushi,tukeuusui,nisamirma
tanakA,tunuke,tunuke,tunuke,nihisa
itO,iru,itu,itou,ane
watanabE,uurunubi,(b|u)utunuui,uutunubi,hinihihu
